x	y	u	v
0.0155039	0.775194	-0.00175018	0.0294983
0.0155039	0.782946	-0.00187904	0.0307958
0.0155039	0.790698	-0.00202349	0.0321901
0.0155039	0.79845	-0.00218617	0.033693
0.0155039	0.806202	-0.00237034	0.0353186
0.0155039	0.813953	-0.00257999	0.037083
0.0155039	0.821705	-0.00282009	0.0390058
0.0155039	0.829457	-0.0030969	0.0411104
0.0155039	0.837209	-0.00341832	0.0434249
0.0155039	0.844961	-0.00379451	0.0459834
0.0155039	0.852713	-0.00423861	0.0488283
0.0155039	0.860465	-0.00476784	0.0520118
0.0155039	0.868217	-0.00540505	0.0555995
0.0155039	0.875969	-0.00618089	0.0596748
0.0155039	0.883721	-0.00713684	0.0643444
0.0155039	0.891473	-0.00832959	0.0697466
0.0155039	0.899225	-0.009837	0.0760622
0.0155039	0.906977	-0.0117661	0.0835286
0.0155039	0.914729	-0.0142633	0.0924586
0.0155039	0.922481	-0.0175251	0.103261
0.0155039	0.930233	-0.0218065	0.116463
0.0155039	0.937984	-0.0274137	0.132711
0.0155039	0.945736	-0.0346556	0.152733
0.0155039	0.953488	-0.0436819	0.177153
0.0155039	0.96124	-0.054039	0.205974
0.0155039	0.968992	-0.0634978	0.237181
0.0155039	0.976744	-0.0649115	0.263233
0.0155039	0.984496	-0.037518	0.262935
0.0155039	0.992248	0.0767992	0.188908
0.0232558	0.00775194	5.94978e-05	1.65621e-05
0.0232558	0.0155039	-0.000110108	8.96235e-05
0.0232558	0.0232558	-0.000188794	0.000188932
0.0232558	0.0310078	-0.000225426	0.000300505
0.0232558	0.0387597	-0.000242653	0.000417906
0.0232558	0.0465116	-0.000250977	0.000538191
0.0232558	0.0542636	-0.000255264	0.00066004
0.0232558	0.0620155	-0.000257773	0.000782883
0.0232558	0.0697674	-0.00025955	0.000906499
0.0232558	0.0775194	-0.000261081	0.00103083
0.0232558	0.0852713	-0.00026259	0.00115589
0.0232558	0.0930233	-0.000264185	0.00128174
0.0232558	0.100775	-0.000265914	0.00140843
0.0232558	0.108527	-0.000267802	0.00153606
0.0232558	0.116279	-0.00026986	0.00166469
0.0232558	0.124031	-0.000272095	0.00179442
0.0232558	0.131783	-0.000274512	0.00192532
0.0232558	0.139535	-0.000277113	0.00205749
0.0232558	0.147287	-0.000279902	0.00219102
0.0232558	0.155039	-0.000282881	0.00232598
0.0232558	0.162791	-0.000286053	0.00246248
0.0232558	0.170543	-0.000289422	0.0026006
0.0232558	0.178295	-0.00029299	0.00274044
0.0232558	0.186047	-0.000296761	0.00288209
