
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Stream_Re100_contourtmp0.dat""
# Contour 0, label:    1e-05
 0.848485  0.062633 -0.0001 
 0.844762  0.0606061 -0.0001 
 0.818182  0.0433663 -0.0001 
 0.787879  0.0341886 -0.0001 
 0.764763  0.030303 -0.0001 


# Contour 11, label:   -1e-05
 0.106151  0.030303 -1e-05 
 0.0909091  0.0360745 -1e-05 
 0.0637177  0.0606061 -1e-05 
 0.0606061  0.0635679 -1e-05 
 0.0355946  0.0909091 -1e-05 
 0.030303  0.103655 -1e-05 

 0.969697  0.184145 -1e-05 
 0.969246  0.181818 -1e-05 
 0.960652  0.151515 -1e-05 
 0.939394  0.125947 -1e-05 
 0.936781  0.121212 -1e-05 
 0.912302  0.0909091 -1e-05 
 0.909091  0.0873017 -1e-05 
 0.884251  0.0606061 -1e-05 
 0.878788  0.0533715 -1e-05 
 0.848485  0.0319832 -1e-05 
 0.843428  0.030303 -1e-05 


# Contour 12, label:   -1e-07
 0.0886725  0.030303 -1e-07 
 0.0606061  0.0485797 -1e-07 
 0.0486552  0.0606061 -1e-07 
 0.030303  0.0873128 -1e-07 

 0.969697  0.16772 -1e-07 
 0.965338  0.151515 -1e-07 
 0.941711  0.121212 -1e-07 
 0.939394  0.119471 -1e-07 
 0.91978  0.0909091 -1e-07 
 0.909091  0.0789005 -1e-07 
 0.892068  0.0606061 -1e-07 
 0.878788  0.0430191 -1e-07 
 0.85774  0.030303 -1e-07 


# Contour 13, label:   -1e-10
 0.088331  0.030303 -1e-10 
 0.0606061  0.0483574 -1e-10 
 0.0484343  0.0606061 -1e-10 
 0.030303  0.0869913 -1e-10 

 0.969697  0.167545 -1e-10 
 0.965385  0.151515 -1e-10 
 0.941857  0.121212 -1e-10 
 0.939394  0.119361 -1e-10 
 0.919856  0.0909091 -1e-10 
 0.909091  0.0788157 -1e-10 
 0.892147  0.0606061 -1e-10 
 0.878788  0.0429146 -1e-10 
 0.857912  0.030303 -1e-10 

