
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_1_contourtmp0.dat""
# Contour 0, label:    1e-07
 0.465116  0.985707 -0.01 
 0.472868  0.985708 -0.01 
 0.48062  0.98571 -0.01 
 0.488372  0.985711 -0.01 
 0.496124  0.985712 -0.01 
 0.503876  0.985713 -0.01 
 0.511628  0.985713 -0.01 
 0.51938  0.985714 -0.01 
 0.527132  0.985714 -0.01 
 0.534884  0.985713 -0.01 
 0.542636  0.985713 -0.01 
 0.550388  0.985712 -0.01 
 0.55814  0.985711 -0.01 
 0.565891  0.98571 -0.01 
 0.573643  0.985708 -0.01 
 0.581395  0.985706 -0.01 
 0.589147  0.985704 -0.01 
 0.596899  0.985702 -0.01 
 0.604651  0.985699 -0.01 
 0.612403  0.985696 -0.01 
 0.620155  0.985692 -0.01 
 0.627907  0.985689 -0.01 
 0.635659  0.985685 -0.01 
 0.643411  0.98568 -0.01 
 0.651163  0.985675 -0.01 
 0.658915  0.98567 -0.01 
 0.666667  0.985664 -0.01 
 0.674419  0.985658 -0.01 
 0.682171  0.985651 -0.01 
 0.689922  0.985644 -0.01 
 0.697674  0.985637 -0.01 
 0.705426  0.985628 -0.01 
 0.713178  0.985619 -0.01 
 0.72093  0.985609 -0.01 
 0.728682  0.985599 -0.01 
 0.736434  0.985588 -0.01 
 0.744186  0.985575 -0.01 
 0.751938  0.985562 -0.01 
 0.75969  0.985548 -0.01 
 0.767442  0.985532 -0.01 
 0.775194  0.985515 -0.01 
 0.782946  0.985497 -0.01 
 0.790698  0.985477 -0.01 
 0.79845  0.985454 -0.01 
 0.806202  0.98543 -0.01 
 0.813953  0.985403 -0.01 
 0.821705  0.985373 -0.01 
 0.829457  0.98534 -0.01 
 0.837209  0.985303 -0.01 
 0.844961  0.985261 -0.01 
 0.852713  0.985213 -0.01 
 0.860465  0.985159 -0.01 
 0.868217  0.985096 -0.01 
 0.875969  0.985023 -0.01 
 0.883721  0.984937 -0.01 
 0.891473  0.984833 -0.01 
