
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_3_contourtmp0.dat""

# Contour 0, label:    1e-07
 0.810726  0.713178 -0.05 
 0.806202  0.709318 -0.05 
 0.801203  0.705426 -0.05 
 0.79845  0.703295 -0.05 
 0.790698  0.69783 -0.05 
 0.790454  0.697674 -0.05 
 0.782946  0.692881 -0.05 
 0.777826  0.689922 -0.05 
 0.775194  0.688393 -0.05 
 0.767442  0.684342 -0.05 
 0.762814  0.682171 -0.05 
 0.75969  0.68069 -0.05 
 0.751938  0.677416 -0.05 
 0.744186  0.6745 -0.05 
 0.743938  0.674419 -0.05 
 0.736434  0.671917 -0.05 
 0.728682  0.669658 -0.05 
 0.72093  0.667707 -0.05 
 0.716032  0.666667 -0.05 
 0.713178  0.666048 -0.05 
 0.705426  0.664672 -0.05 
 0.697674  0.66357 -0.05 
 0.689922  0.662736 -0.05 
 0.682171  0.662159 -0.05 
 0.674419  0.661835 -0.05 
 0.666667  0.661756 -0.05 
 0.658915  0.661917 -0.05 
 0.651163  0.662314 -0.05 
 0.643411  0.662943 -0.05 
 0.635659  0.6638 -0.05 
 0.627907  0.66488 -0.05 
 0.620155  0.666182 -0.05 
 0.617644  0.666667 -0.05 
 0.612403  0.667704 -0.05 
 0.604651  0.669443 -0.05 
 0.596899  0.671395 -0.05 
 0.589147  0.673556 -0.05 
 0.586286  0.674419 -0.05 
 0.581395  0.675932 -0.05 
 0.573643  0.678517 -0.05 
 0.565891  0.681304 -0.05 
 0.56361  0.682171 -0.05 
 0.55814  0.684305 -0.05 
 0.550388  0.687507 -0.05 
 0.544849  0.689922 -0.05 
 0.542636  0.690913 -0.05 
 0.534884  0.694531 -0.05 
 0.528464  0.697674 -0.05 
 0.527132  0.698344 -0.05 
 0.51938  0.702376 -0.05 
 0.513745  0.705426 -0.05 
 0.511628  0.706603 -0.05 
 0.503876  0.711047 -0.05 
 0.500275  0.713178 -0.05 
 0.496124  0.715701 -0.05 
 0.488372  0.720556 -0.05 
 0.487789  0.72093 -0.05 
 0.48062  0.725652 -0.05 
 0.476143  0.728682 -0.05 
 0.472868  0.73096 -0.05 
 0.465182  0.736434 -0.05 
 0.465116  0.736483 -0.05 
 0.457364  0.742275 -0.05 
 0.45486  0.744186 -0.05 
 0.449612  0.748311 -0.05 
 0.445087  0.751938 -0.05 
 0.44186  0.754607 -0.05 
 0.435821  0.75969 -0.05 
